name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude
DEUTSCHE BANK AKTIENGESELLSCHAFT,"60/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","TAUNUSANLAGE 12, 60325 FRANKFURT, FEDERAL REPUBLIC OF GERMANY.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100085,22.303660522019,114.160129215707
DUKASCOPY BANK SA,"ROOM 701, 7/F, TOWER 2, SILVERCORD, 30 CANTON ROAD, TSIM SHA TSUI, KOWLOON.","ROUTEDE PRE-BOIS 20, CH-1215 GENEVA 15, SWITZERLAND.",Local Representative Office,,22.2973329796954,114.169387996389
"DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK, FRANKFURT AM MAIN","9/F., ADMIRALTY CENTRE, TOWER II, 18 HARCOURT ROAD, HONG KONG.","AM PLATZ DER REPUBLIK, 60325 FRANKFURT AM MAIN, GERMANY.",Licensed Bank,,22.2793916310201,114.165561111091
"E.SUN COMMERCIAL BANK, LTD.","SUITES 2701, 2710-14, 27/F AND 28/F, TOWER 6, THE GATEWAY, 9 CANTON ROAD, TSIMSHATSUI, KOWLOON.","NO. 117, SEC.3, MINSHENG E. ROAD, SONGSHAN DISTRICT, TAIPEI CITY 105-46, TAIWAN",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100264,22.2970074658543,114.168125067553
EAST WEST BANK,"SUITE 1108, 11/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.","135N. LOS ROBLES AVE., 7TH FLOOR, PASADENA, CA 91101 UNITED STATES.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100278,22.2854993838452,114.159397623377
EFG BANK AG,"LEVEL 18, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","BLEICHERWEG 8, 8001 ZURICH, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100254,22.3052462311699,114.161408965707
ERSTE GROUP BANK AG,"UNITS 08 TO 13, 3RD FLOOR, FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, ADMIRALTY, HONG KONG","AM BELVEDERE 1, 1100 WIEN, AUSTRIA",Licensed Bank,,22.2802032478128,114.164022381047
EUROCLEAR BANK,"20/F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.","1, BOULEVARD DU ROI ALBERT II, B-1210 BRUSSELS, BELGIUM.",Restricted Licence Bank,,22.279914707558,114.173685725223
EXPORT-IMPORT BANK OF CHINA (THE),"ROOM 5707, 57/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","NO. 30 FUXINGMENNEI STREET, XICHENG DISTRICT, BEIJING, 10031, CHINA",Local Representative Office,,22.2851952071791,114.159173091278
FAR EASTERN INTERNATIONAL BANK,"20TH FLOOR, 8 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.","26-27 FLOOR, TUN HWA S. ROAD, SECTION 2, TAIPEI, TAIWAN.",Licensed Bank,,22.2803851031707,114.157611182894
FIRST ABU DHABI BANK PJSC,"SUITES 705-8, ICBC TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG","FAB BUILDING, KHALIFA BUSINESS PARK, AL QURM, ABU DHABI, UNITED ARAB EMIRATES, P.O. BOX 6316",Licensed Bank,,23.6469467833383,114.314164850913
"FIRST COMMERCIAL BANK, LTD.","1702-8, 17TH FLOOR, PRUDENTIAL TOWER, THE GATEWAY, HARBOUR CITY, 21 CANTON ROAD, TSIMSHATSUI, KOWLOON","30 CHUNGKING S. ROAD, SECTION 1, TAIPEI 100, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100220,22.2989374363224,114.167785725224
FUBON BANK (HONG KONG) LIMITED,"FUBON BANK BUILDING, 38 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100138,22.2832630387212,114.156714267553
FUBON CREDIT (HONG KONG) LIMITED,"UNIT 08, 7/F, TOWER 2, CHEUNG SHA WAN PLAZA, 833 CHEUNG SHA WAN ROAD, CHEUNG SHA WAN, KOWLOON",,Deposit-taking Company,,22.3370290034573,114.14830139639
FUSION BANK LIMITED,"2/F, INNOCENTRE, 72 TAT CHEE AVENUE, KOWLOON TONG, KOWLOON",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100330,22.3354384578739,114.176125881048
GOLDMAN SACHS ASIA BANK LIMITED,"68/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, HONG KONG",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200109,22.2796357075779,114.160563296388
HABIB BANK A.G. ZURICH,"ROOM 1701-1705, WING ON HOUSE, 71 DES VOEUX ROAD, CENTRAL, HONG KONG.","WEINBERGSTRASSE 59, P.O. BOX. 4931, 8022 ZURICH, SWITZERLAND.",Local Representative Office,,22.2839038072719,114.156434538718
HABIB BANK ZURICH (HONG KONG) LIMITED,"1701-1705, WING ON HOUSE, 71 DES VOEUX ROAD, CENTRAL, HONG KONG.",,Restricted Licence Bank,,22.2839624002263,114.156467267553
"HANG SENG BANK, LIMITED","HANG SENG BANK BLDG., 83 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100057,22.2846632773462,114.156112544541
HDFC BANK LIMITED,"SUITE 1707, 17/F, TOWER 1, THE GATEWAY, HARBOUR CITY, 25 CANTON ROAD, TSIM SHA TSUI, KOWLOON.","HDFC BANK HOUSE, SENAPATI BAPAT MARG, LOWER PAREL, MUMBAI 400 013, INDIA",Licensed Bank,,22.2997094087117,114.167950654059
HONG LEONG BANK BERHAD,"50TH FLOOR, THE CENTER, 99 QUEEN'S ROAD CENTRAL, HONG KONG.","LEVEL 30, MENARA HONG LEONG, NO. 6, JALAN DAMANLELA, BUKIT DAMANSARA, 50490 KUALA LUMPUR, MALAYSIA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100268,22.2847469749383,114.154707054059
HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED (THE),"1 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100002,22.2802750958451,114.159397143196
HSBC BANK PLC,"LEVEL 18, HSBC MAIN BUILDING, NO. 1 QUEEN'S ROAD CENTRAL, HONG KONG.","8 CANADA SQUARE, LONDON, E14 5HQ, UNITED KINGDOM.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100249,22.2803720857401,114.159372915706
"HSBC BANK USA, NATIONAL ASSOCIATION","1 QUEEN'S ROAD CENTRAL, HONG KONG.","1800 TYSONS BOULEVARD, SUITE 50, MCLEAN, VIRGINIA 220102, U.S.A.",Licensed Bank,,22.2800959365862,114.159722296388
"HUA NAN COMMERCIAL BANK, LTD.","SUITE 5601-03, 56/F., CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.","NO. 123, SONGREN ROAD, XINYI DIST., TAIPEI, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100213,22.2801578757399,114.173738925224
"HUA XIA BANK CO., LIMITED","18/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","HUA XIA BANK MANSION, 22 JIANGUOMENNEI STREET, DONGCHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100334,22.2854814268229,114.159310525937
ICICI BANK LIMITED,"UNIT 1504B-1505, LEVEL 15, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","ICICI BANK TOWERS, BANDRA-KURLA COMPLEX, MUMBAI 400 051, INDIA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100271,22.3037377600267,114.160264225224
INDIAN OVERSEAS BANK,"3/F., RUTTONJEE HOUSE, 11 DUDDELL STREET, CENTRAL, HONG KONG.","762,ANNA SALAI MADRAS-6000002, INDIA.",Licensed Bank,,22.2798650282791,114.156836914118
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED,"33/F, ICBC TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100077,22.2787211578471,114.160811763859
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,"33/F., ICBC TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.","55 FUXINGMENNEI DAJIE, XICHENG DISTRICT, BEIJING, 100031, CHINA.",Licensed Bank,,22.2787410137146,114.160758119683
"INDUSTRIAL BANK CO., LTD.","10-12/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG","INDUSTRIAL BANK BUILDING, 398 JIANGHIN ZHONG AVENUE, TAIJIANG DISTRICT, FUZHOU, FUJIAN, PR CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100317,22.2850432490606,114.156888059739
INDUSTRIAL BANK OF KOREA,"SUITE 3113, 31ST FLOOR, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","50,ULCHIRO 2-GA, CHUNG-GU, SEOUL 100-758, KOREA.",Licensed Bank,,22.2776948384302,114.166336033891
ING BANK N.V.,"8TH FLOOR, THREE PACIFIC PLACE, 1 QUEEN'S ROAD EAST, HONG KONG","BIJLMERDREEF 106, 1102 CT AMSTERDAM, THE NETHERLANDS",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100155,22.2771253724475,114.168052211729
INTESA SANPAOLO SPA,"UNITS 8102-05 & 8106A, LEVEL 81, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","VIA MONTE DI PIETA, 8-20121 MILANO, ITALY.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100243,22.3036345769517,114.160252182895
"IYO BANK, LTD. (THE)","SUITE 2812, TOWER TWO, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, HONG KONG","1, MINAMI-HORIBATA-CHO, MATSUYAMA CITY, EHIME PREF.",Local Representative Office,,22.2781544839034,114.182104940565
J.P. MORGAN SECURITIES (ASIA PACIFIC) LIMITED,"18/F & 23-29/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200033,22.2823209928377,114.15868757295
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","18/F & 20-29/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG","383 MADISON AVENUE, NEW YORK, NY 10179, UNITED STATES.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100089,22.2822760079382,114.158460127846
KASIKORNBANK PUBLIC COMPANY LIMITED,"UNIT 3316, 33/F, CHINA MERCHANTS TOWER, SHUN TAK CENTRE, NO. 168-200 CONNAUGHT ROAD CENTRAL, HONG KONG.","400/22 PHAHON YOTHIN ROAD, SAM SEN NAI SUB-DISTRICT, THAI DISTRICT, BANGKOK 10400",Restricted Licence Bank,,22.2878129960597,114.15182919135
KBC BANK N.V.,"39/F., CENTRAL PLAZA, 18 HARBOUR ROAD, HONG KONG.","HAVENLAAN 2, (SINT-JANS-MOLENBEEK) 1080 BRUSSELS, BELGIUM",Licensed Bank,,22.2801367815112,114.173747374502
KDB ASIA LIMITED,"SUITE 2005-8, 20TH FLOOR, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG.",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200065,22.2863670785172,114.157161145205
KEB HANA BANK,"UNIT 6201, LEVEL 62, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON","35, EULJI-RO, JUNG-GU, SEOUL, REPUBLIC OF KOREA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100080,22.3043492179322,114.160083739613
KEB HANA GLOBAL FINANCE LIMITED,"UNIT 6203A, LEVEL 62, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300506,22.3034329582318,114.160179967554
KEXIM ASIA LIMITED,"UNIT 2904-05, 29/F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300504,22.2799347863856,114.173686324747
KOOKMIN BANK,"SUITE 1101 AND 1106, 11TH FLOOR, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG","#26, GUKJEGEUMYUNG-RO 8-GIL, YEONGDEUNGPO-GU, SEOUL, REPUBLIC OF KOREA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100323,22.2799687924882,114.173636209883
KOREA DEVELOPMENT BANK (THE),"SUITE 2009-2010, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","14 EUNHAENG-RO, YEONGDEUNGPO-GU, SEOUL 07242, REPUBLIC OF KOREA",Restricted Licence Bank,,22.2863551438716,114.15715039567
"LAND BANK OF TAIWAN CO., LTD.","UNIT 3101-06 & 12, TOWER 1, THE GATEWAY, NO. 25 CANTON ROAD, TSIM SHA TSUI, KOWLOON","46 GUANCIAN ROAD, JHONGJHEN DISTRICT, TAIPEI CITY, TAIWAN.",Licensed Bank,,22.2996875087428,114.167819640565
LGT BANK AG,"SUITE 4203, TWO EXCHANGE SQUARE, 8 CONNAUGHT PLACE, HONG KONG.","HERRENGASSE 12, FL-9490 VADUZ, LIECHTENSTEIN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100305,22.2887163800306,114.158669992864
LIVI BANK LIMITED,"28TH FLOOR, OXFORD HOUSE, TAIKOO PLACE, 979 KING'S ROAD, QUARRY BAY, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100327,22.2873070235713,114.213279549677
MALAYAN BANKING BERHAD,"29/F, LEE GARDEN THREE, 1 SUNNING ROAD, CAUSEWAY BAY, HONG KONG","MENARA MAYBANK,100 JALAN TUN PERAK, 50050 KUALA LUMPUR, MALAYSIA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100050,22.2778232958406,114.185379811729
MANULIFE BANK OF CANADA,"21/F, MANULIFE TOWER, ONE BAY EAST, 83 HOI BUN ROAD, KWUN TONG, KOWLOON","500 KING STREET NORTH, BOX 1602, WATERLOO, ON N2J 4C6, CANADA",Local Representative Office,,22.3157858073974,114.214266778192
MASHREQ BANK - PUBLIC SHAREHOLDING COMPANY,"UNIT 05-09, 27/F, PROSPERITY MILLENNIA PLAZA, 663 KING'S ROAD, NORTH POINT, HONG KONG","POST BOX 1250, DUBAI, UNITED ARAB EMIRATES",Licensed Bank,,22.2918768658186,114.208199882894
"MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD.","SUITE 2201, 22/F., PRUDENTIAL TOWER, THE GATEWAY, HARBOUR CITY, 21 CANTON ROAD, KOWLOON.","100, CHI LIN ROAD, TAIPEI (104), TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100261,22.298904362888,114.167866182894
MELLI BANK PLC,"ROOM 2202, 22/F, HARBOUR CENTRE, 25 HARBOUR ROAD, WANCHAI, HONG KONG","98A KENSINGTON HIGH STREET, LONDON, W8 4SG, UNITED KINGDOM",Licensed Bank,,22.2820044053843,114.175494808134
METROPOLITAN BANK AND TRUST COMPANY,"UNIT D, 15/F., UNITED CENTRE, 95 QUEENSWAY, HONG KONG.","SEN. GIL J. PUYAT AVE., MAKATI CITY, METRO MANILA, PHILIPPINES 1200.",Local Representative Office,,22.2783362374117,114.165237928441
MITSUBISHI UFJ TRUST AND BANKING CORPORATION,"SUITES 2105-7, TOWER 6, THE GATEWAY, HARBOUR CITY, 9 CANTON ROAD, TSIM SHA TSUI, KOWLOON.","1-4-5, MARUNOUCHI, CHIYODA-KU, TOKYO 100-8212, JAPAN.",Licensed Bank,,22.2979247309032,114.168224460353
"MIZUHO BANK, LTD.","12/F, K11 ATELIER, 18 SALISBURY ROAD, TSIM SHA TSUI, KOWLOON","OTEMACHI TOWER, 1-5-5, OTEMACHI, CHIYODA-KU, TOKYO, JAPAN.",Licensed Bank,,22.2951957293802,114.175522467553
MORGAN STANLEY BANK ASIA LIMITED,"LEVEL 31, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100335,22.3034809297509,114.160143000932
MOX BANK LIMITED,"39/F, OXFORD HOUSE, TAIKOO PLACE, 979 KING'S ROAD, QUARRY BAY, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100326,22.2873423442842,114.213310282894
"MUFG BANK, LTD.","8/F, AIA CENTRAL, 1 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.","1-4-5 MARUNOUCHI, CHIYODA-KU, TOKYO, JAPAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100133,22.2814584956731,114.161793415706
"NANYANG COMMERCIAL BANK, LIMITED","NANYANG COMMERCIAL BANK BUILDING, 151 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100060,22.2858589735161,114.154764782894
NATIONAL AUSTRALIA BANK LIMITED,"SUITES 506-509, LEVEL 5, THREE PACIFIC PLACE, 1 QUEEN'S ROAD EAST, HONG KONG","LEVEL 28, 395 BOURKE STREET, MELBOURNE, VICTORIA 3000, AUSTRALIA",Licensed Bank,,22.277170981043,114.168062454059
NATIONAL BANK OF CANADA,"ROOM 1903, YORK HOUSE, THE LANDMARK, 15 QUEEN'S ROAD, CENTRAL, HONG KONG.","600 DE LA GAUCHETIERE WEST, MONTREAL, QUEBEC, H3B 4L2, CANADA.",Local Representative Office,,22.2805449797073,114.157913725223
NATIONAL BANK OF PAKISTAN,"UNIT 1804-05, 18/F, FWD FINANCIAL CENTRE, 308-320 DES VOEUX ROAD CENTRAL, HONG KONG.","I.I. CHUNDRIGAR ROAD, HEAD OFFICE, KARACHI, PAKISTAN.",Licensed Bank,,22.2868511817323,114.150670196388
NATIXIS,"UNITS 7101-7102, 7103A, 7108 ON 71/F AND 72/F, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","7 PROMENADE GERMAINE SABLON - 75013 PARIS, FRANCE",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100226,22.3036692172509,114.1602837194
"NISHI-NIPPON CITY BANK, LTD. (THE)","SUITE 3112, TOWER 6, THE GATEWAY, HARBOUR CITY, 9 CANTON ROAD, TSIM SHA TSUI, KOWLOON.","3-6 HAKATA-EKIMAE 1-CHOME HAKATA-KU, FUKUOKA-SHI, FUKUOKA-KEN,812-0011, JAPAN.",Local Representative Office,,22.2969146862708,114.168281638718
NONGHYUP BANK,"UNIT 9605, LEVEL 96, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON","120, TONGIL-RO, JUNG-GU, SEOUL, REPUBLIC OF KOREA",Licensed Bank,,22.3036116293441,114.160190696389
"O-BANK CO., LTD.","SUITES 3210-14, 32/F, TOWER 6, THE GATEWAY, HARBOUR CITY, TSIM SHA TSUI, KOWLOON.","99, SEC.2, TIDING BLVD, NEIHU DISTRICT, TAIPEI, TAIWAN.",Licensed Bank,,22.297053359196,114.168312325224
OCBC BANK (HONG KONG) LIMITED,"OCBC CENTRE, 161 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100048,22.2849815396669,114.153738396388
"OITA BANK, LTD. (THE)","UNIT NO. 1108, 11/F, THE METROPOLIS TOWER, 10 METROPOLIS DRIVE, HUNGHOM, KOWLOON","4-1, FUNAI-CHO 3 CHOME, OITA-SHI, OITA, JAPAN.",Local Representative Office,,22.3036415535266,114.183408667554
ORIX ASIA LIMITED,"25TH FLOOR, TWO EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG.",,Restricted Licence Bank,,22.2837879934054,114.158344625224
OVERSEA-CHINESE BANKING CORPORATION LIMITED,"9/F., NINE QUEEN'S ROAD CENTRAL, HONG KONG.","63 CHULIA STREET, #10-00 OCBC CENTRE EAST, SINGAPORE 049514",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100020,22.280373317487,114.158344505758
P.T. BANK CENTRAL ASIA,"UNIT 4707, 47/F, THE CENTER, 99 QUEEN'S ROAD CENTRAL, HONG KONG.","WILSMA BCA, JL JEND SUDIRMAN KAV 22-23, JAKARTA, INDONESIA.",Local Representative Office,,22.284798089722,114.154682397522
P.T. BANK RAKYAT INDONESIA (PERSERO),"ROOM 2211, 22/F, LIPPO CENTRE TOWER II, 89 QUEENSWAY, ADMIRALTY, HONG KONG.","JL,JEND. SUDIRMAN NO. 44-46, JAKARTA 10210, INDONESIA.",Local Representative Office,,22.2793043684349,114.163239875076
PAO BANK LIMITED,"ROOM 1903-1904, NEO, 123 HOI BUN ROAD, KWUN TONG, KOWLOON",,Licensed Bank,,22.3142092152353,114.216263038718
PHILIPPINE NATIONAL BANK,"UNIT 02, 9TH FLOOR, TUNG WAI COMMERCIAL BUILDING, 109-111 GLOUCESTER ROAD, WANCHAI, HONG KONG.","PNB FINANCIAL CENTER, PRES. DIOSDADO MACAPAGAL BLVD., PASAY CITY, PHILIPPINES.",Licensed Bank,,22.2799603056556,114.174439981435
"PING AN BANK CO., LTD.","38/F & 42/F, ONE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG","SOUTH TOWER, PING AN FINANCIAL CENTER, 5023 YITIAN ROAD, FUTIAN DISTRICT, SHENZHEN, CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100333,22.2838177761264,114.158248065706
PT. BANK MANDIRI (PERSERO) TBK,"7/F., FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, HONG KONG.","PLAZA MANDIRI, JL. JEND. GATOT SUBROTO KAV. 36-38, JAKARTA 12190, INDONESIA.",Restricted Licence Bank,,22.2800940416484,114.164086754059
PT. BANK NEGARA INDONESIA (PERSERO) TBK.,"G/F., FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, CENTRAL, HONG KONG.","J1. JEND. SUDIRMAN KAV. 1, JAKARTA 10220, INDONESIA.",Licensed Bank,,22.2801933199832,114.164054567553
PUBLIC BANK (HONG KONG) LIMITED,"PUBLIC BANK CENTRE, 120 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100022,22.2852143293142,114.154861125224
PUBLIC FINANCE LIMITED,"ROOM 1105-1107, WING ON HOUSE, 71 DES VOEUX ROAD CENTRAL, CENTRAL DISTRICT, HONG KONG.",,Deposit-taking Company,,22.283918079705,114.156449865706
QATAR NATIONAL BANK (Q.P.S.C.),"SUITE 5801-04, 58/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","P.O. BOX 1000, DOHA, QATAR",Licensed Bank,,22.2853772855041,114.159296111163
"RESONA BANK, LIMITED","SUITES 1214-1215, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG","2-1, BINGOMACHI 2-CHOME, CHUO-KU, OSAKA, JAPAN.",Local Representative Office,,22.2771902077533,114.164442796388
ROYAL BANK OF CANADA,"41ST AND 42ND FLOOR, ONE TAIKOO PLACE, TAI KOO PLACE, 979 KING'S ROAD, QUARRY BAY, HONG KONG","200 BAY STREET, TORONTO, ONTARIO, M5J 2J5, CANADA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100267,22.2877189940092,114.212610021387
"SHANGHAI COMMERCIAL & SAVINGS BANK, LTD. (THE)","10/F, PENINSULA OFFICE TOWER, 18 MIDDLE ROAD, TSIMSHATSUI, KOWLOON.","2, SEC. 1, MIN CHUAN E. ROAD, TAIPEI, TAIWAN.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100288,22.2956113680373,114.171757538718
SHANGHAI COMMERCIAL BANK LIMITED,"SHANGHAI COMMERCIAL BANK TOWER, 12 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100074,22.2806328748965,114.157535096388
"SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD.","30/F, SPD BANK TOWER, ONE HENNESSY, 1 HENNESSY ROAD, HONG KONG","12 ZHONGSHAN EAST NO. 1 ROAD, SHANGHAI, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100306,22.2782365951949,114.168863596388
"SHIGA BANK, LTD. (THE)","UNIT 1001, 10/F, HENLEY BUILDING, 5 QUEEN'S ROAD CENTRAL, HONG KONG","1-38 HAMAMACHI OTSU, SHIGA 520, JAPAN.",Licensed Bank,,22.2804633025929,114.159010771247
SHINHAN BANK,"UNIT 7703 ON LEVEL 77, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","120, 2GA, TAEPYUNG-RO, JUNG-GU, SEOUL 100-102, KOREA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100293,22.3048411484696,114.16036214077
SHINKIN CENTRAL BANK,"SUITE 4008, 40/F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.","3-7, YAESU 1 CHOME, CHUO-KU, TOKYO 103-0028, JAPAN.",Local Representative Office,,22.2799096797078,114.173738925224
"SHIZUOKA BANK, LTD. (THE)","SUITE 1001-1003, 10/F, TOWER 6, THE GATEWAY, HARBOUR CITY, 9 CANTON ROAD, TSIM SHA TSUI, KOWLOON","10,GOFUKUCHO 1 CHOME, SHIZUOKA-SHI,SHIZUOKA 420, JAPAN.",Licensed Bank,,22.2970834390899,114.168238723377
"SHOKO CHUKIN BANK, LTD. (THE)","SUITE 804, 8/F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.","10-17, YAESU 2-CHOME, CHUO-KU,TOKYO, JAPAN.",Local Representative Office,,22.2799729518624,114.173607896388
