name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude,isPenalty,year,Multiplier,assetsPrevMillion,assetsMillion,liabilitiesPrevMillion,liabilitiesMillion,establishmentYear,incomePrevMillion,incomeMillion,expensesPrevMillion,expensesMillion
BANK OF SINGAPORE LIMITED,"34/F & 35/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","63 CHULIA STREET, #10-00 OCBC CENTRE EAST, SINGAPORE (049514)",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100290,22.2849386,114.158046,0,2022,0.0078,"35,526,469","39,007,493","33,501,237","37,036,409",1966,"966,870","939,526","590,069","606,818"
AGRICULTURAL BANK OF CHINA LIMITED,"25/F, AGRICULTURAL BANK OF CHINA TOWER, 50 CONNAUGHT ROAD CENTRAL, HONG KONG.","NO. 69, JIANGUOMEN NEI AVENUE, DONGCHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100235,22.2854193,114.155977,0,2023,1,42921156,36518987,33640826,39802833,1979,748435.26,748634.4,262191.26,271592.94
FUBON BANK (HONG KONG) LIMITED,"FUBON BANK BUILDING, 38 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100138,22.283263,114.156714,0,2023,0.001,129598400,140981616,114346416,125016000,1961,5147117,8922145,2610598,5511876
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,"28/F, CCB TOWER, NO. 3 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100015,22.2814979,114.161474,1,2021,0.001,474505438,497290217,397180873,417551135,1912,18517639,15258277,8228603,5415722
"E.SUN COMMERCIAL BANK, LTD.","SUITES 2701, 2710-14, 27/F AND 28/F, TOWER 6, THE GATEWAY, 9 CANTON ROAD, TSIMSHATSUI, KOWLOON.","NO. 117, SEC.3, MINSHENG E. ROAD, SONGSHAN DISTRICT, TAIPEI CITY 105-46, TAIWAN",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100264,22.2970075,114.168125,0,2022,0.0000078,"759,866,538","889,053,568","644,528,519","756,108,644",1992,"39,946,747","40,606,451",26465225,23829055
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,"20/F-22/F, THREE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG.","100 QUEEN STREET, MELBOURNE, VICTORIA 3000, AUSTRALIA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100164,22.2847046,114.1574,0,2023,0.2,1085600,1106000,66.4,69.1,1835,7120,7193,21273,46560
BANC OF AMERICA SECURITIES ASIA LIMITED,"52/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200017,22.2797946,114.160542,0,2023,0.128205128,3367.646,89.073,2795.552,13.1,1973,26.631,53.879,48.397,118.941
BANGKOK BANK PUBLIC COMPANY LIMITED,"BANGKOK BANK BUILDING, 28 DES VOEUX ROAD, CENTRAL, HONG KONG.","333 SILOM ROAD, BANGKOK 10500, THAILAND.",Licensed Bank,,22.2829748,114.156924,0,2023,0.21718111,4421.752,4514.484,3914610.136,3983654.351,1944,268625.943,325581.878,69018.534,81775.006
BANK J. SAFRA SARASIN AG,"40/F, EDINBURGH TOWER, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, HONG KONG.","ELISABETHENSTRASSE 62, POSTFACH, CH-4002 BASEL, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100297,22.280775,114.157917,0,2023,8.8343459,45620.342,42487.705,39432.472,36730.471,1841,1441.497,1735.908,753.222,801.972
BANK JULIUS BAER & CO. LTD.,"39/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","BAHNHOFSTRASSE 36, CH-8010 ZURICH, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100301,22.2850432,114.156919,0,2023,8.8343459,105643.7,"96,786.30",99354,"90,623.10",1890,3853.3,3239.6,2904.2,2786.1
"BANK OF AMERICA, NATIONAL ASSOCIATION","52/F, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, CENTRAL, HONG KONG.","100 NORTH TRYON STREET, 18/F, CHARLOTTE, NORTH CAROLINA 28255.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100045,22.2798839,114.160542,0,2023,7.8,3051375,3180151,2778178,2888505,1904,94950,98581,67422,72066
"BANK OF BEIJING CO., LTD.","UNIT 5601, 56/F, THE CENTER, NO. 99 QUEEN'S ROAD CENTRAL, HONG KONG","GROUND FLOOR, JIA NO.17, FINANCIAL STREET, XICHENG DISTRICT, BEIJING, PRC.",Local Representative Office,,22.2845991,114.15474,0,2023,1.103509159,3387952,3748679,3077335,3420447,1996,66276,66711,39332,38599
BANK OF CHINA (HONG KONG) LIMITED,"14TH FLOOR, BANK OF CHINA TOWER, NO.1 GARDEN ROAD, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100072,22.2795425,114.161493,0,2023,1,3666505,3868783,3340670,3545354,2001,54215,65498,96921,44647
BANK OF CHINA INTERNATIONAL LIMITED,"2/F & 3/F, BANK OF CHINA BUILDING, 2A DES VOEUX ROAD CENTRAL, HONG KONG",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200069,22.2802538,114.160114,0,2023,1,6405.275,6216.206,4612.003,4417.882,2009,506.316,569.7,264.301,351.1
BANK OF CHINA LIMITED,"7/F, BANK OF CHINA TOWER, 1 GARDEN ROAD, CENTRAL, HONG KONG.","1 FUXINGMEN NEI DAJIE, BEIJING 100818, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100011,22.2794281,114.161457,0,2023,1.103509159,28893548,32432166,26330247,29675351,1912,1464159.054,1532332,898384,1074989
BANK OF COMMUNICATIONS (HONG KONG) LIMITED,"UNIT B B/F & G/F, UNIT C G/F, 1-3/F, 16/F ROOM 01 & 18/F, WHEELOCK HOUSE, 20 PEDDER STREET, CENTRAL, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100320,22.2822187,114.157324,0,2023,0.001,467011761,424954364,416461841,370950809,2018,,,,
INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED,"33/F, ICBC TOWER, 3 GARDEN ROAD, CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100077,22.2787212,114.160812,1,2021,0,9248200.2,"9,159,600","7,812,577","7,661,999",1964,"118,893","141,353","37,975","39,867"
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","18/F & 20-29/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG","383 MADISON AVENUE, NEW YORK, NY 10179, UNITED STATES.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100089,22.282276,114.15846,1,2018,7.8,"3,665,743","3,875,393","3,373,411","3,547,515",1799,"128,695","158,104","91,019","108,552"
SHANGHAI COMMERCIAL BANK LIMITED,"SHANGHAI COMMERCIAL BANK TOWER, 12 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100074,22.2806329,114.157535,1,2018,0.24,"1,503,505,612","1,583,903,695","1,333,724,704","1,400,586,651",1950,"28,101,762","28,410,141","8,680,584","9,225,283"
"SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD.","30/F, SPD BANK TOWER, ONE HENNESSY, 1 HENNESSY ROAD, HONG KONG","12 ZHONGSHAN EAST NO. 1 ROAD, SHANGHAI, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100306,22.2782366,114.168864,0,2023,1.08,"8,704,651","9,007,247","7,997,876","8,274,363",1993,"188,622","173,434","151,193","121,437"
SHINHAN BANK,"UNIT 7703 ON LEVEL 77, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","120, 2GA, TAEPYUNG-RO, JUNG-GU, SEOUL 100-102, KOREA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100293,22.3048411,114.160362,0,2023,0.0056,"691,795,333","691,795,333","611,009,672","635,473,468",1982,"5,905,564","6,100,850","1,150,050","1,345,336"
SHINKIN CENTRAL BANK,"SUITE 4008, 40/F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.","3-7, YAESU 1 CHOME, CHUO-KU, TOKYO 103-0028, JAPAN.",Local Representative Office,,22.2799097,114.173739,0,2022,7.8,394382,357586,379106,344849,1950,2053,1765,1693,1399
STATE BANK OF INDIA,"15TH FLOOR, CENTRAL TOWER, 28 QUEEN'S ROAD CENTRAL, HONG KONG.","NARIMAN POINT, BOMBAY 400 021, INDIA.",Licensed Bank,,22.2820323,114.156842,1,2015,0.093,55169785.27,61796939.45,54277324,609044838,1955,46681281.92,36871865.78,31848620.42,40573619.9
VP BANK LTD,"8/F, NEW WORLD TOWER II, 16-18 QUEEN'S ROAD CENTRAL, HONG KONG","FL-9490 VADUZ, AEULESTRASSE 6, LIECHTENSTEIN.",Local Representative Office,,22.280591,114.157329,0,2023,8.81,"12,631,061","11,449,893","11,528,936","10,342,741",2006,336.361,364.431,296.201,320.222
WELAB BANK LIMITED,"23/F, K11 ATELIER KING'S ROAD, 728 KING'S ROAD, QUARRY BAY, HONG KONG",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100328,22.2917075,114.207509,0,2023,0,2688.928,3763.565,2186.795,3304.338,2018,44,66,465,332
"WELLS FARGO BANK, NATIONAL ASSOCIATION","2705-2709, 27/F, THREE PACIFIC PLACE, 1 QUEEN'S ROAD EAST, WAN CHAI, HONG KONG","101 N. PHILLIPS AVENUE, SIOUX FALLS, SOUTH DAKOTA 57104, USA",Licensed Bank,,22.2770929,114.168215,0,2023,7.8,"1,894,303","1,885,475","1,711,136","1,700,615",1863,"74,368","82,597","57,205","55,562"
WOORI BANK,"SUITE 1401, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","1-203, HOEHYON DONG, CHUNG-GU, SEOUL, KOREA.",Licensed Bank,,22.2773672,114.164468,0,2023,0.0056,"424,535,517","436,687,888","400,101,660","411,591,135",1899,,,,
WOORI GLOBAL MARKETS ASIA LIMITED,"ROOMS 1907-1909, 19/F, GLOUCESTER TOWER, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, HONG KONG.",,Deposit-taking Company,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=300505,22.2805427,114.157903,0,2023,7.8,432.20192,508.603073,316.354174,384.049681,2006,3.348235,6.698869,-0.376109,0.23186
"YAMAGUCHI BANK, LTD. (THE)","ROOM 403, 4/F FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, CENTRAL, HONG KONG","2-36, 4-CHOME, TAKEZAKI-CHO, SHIMONOSEKI JAPAN.",Local Representative Office,,22.2800624,114.164022,0,2023,0.05,11993722,12182663,11312583,115463318,1878,18505,156292,148710,161795
"YUANTA COMMERCIAL BANK CO., LTD","ROOM 2508, 25/F, TOWER 1, ADMIRALTY CENTRE, NO. 18 HARCOURT ROAD, HONG KONG","1F-10F, NO. 66 & 1F, 2F, 2F-1, 7F, 9F, NO. 68, SEC. 1, DUNHUA SOUTH ROAD, TAIPEI CITY 105, TAIWAN",Licensed Bank,,22.2795856,114.165151,0,2023,0.24,1728469.063,1847328.894,1616589.106,1720509.564,1992,20750.473,23654.941,12093.01,16366.553
"Coutts & Co AG, Hong Kong Branch",,,,,22.2831,114.15918,1,2017,10.04,38446,46915,36990,45394,2015,634,658,399,461
