name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude,isPenalty,year,Multiplier,assetsPrevMillion,assetsMillion,liabilitiesPrevMillion,liabilitiesMillion,establishmentYear,incomePrevMillion,incomeMillion,expensesPrevMillion,expensesMillion,adj_assetsPrevMillion,adj_assetsMillion,adj_liabilitiesPrevMillion,adj_liabilitiesMillion,adj_incomePrevMillion,adj_incomeMillion,adj_expensesPrevMillion,adj_expensesMillion,prev_percent_asset_capital,percent_asset_capital,assetsPrecentChange,liabilitiesPrecentChange,incomePercentChange,expensesPercentChange,profitPercentChange
"Westpac Banking Corporation, Hong Kong Branch",,,,,22.28299,114.15846,1,2023,1,33899.647,26808.388,33899.647,26808.388,2020,100.208,61.734,95.073,75132,33899.647,26808.388,33899.647,26808.388,100.208,61.734,95.073,75132,0,0,-0.20918386,-0.20918386,-0.383941402,789.2559086,-14620.33126
"CTBC Bank Co., Ltd., Hong Kong Branch",,,,,22.2853762,114.1590347,1,2021,1,98756.612,103436.763,98756.612,103436.763,1997,1450.444,1750.073,510.436,583.87,98756.612,103436.763,98756.612,103436.763,1450.444,1750.073,510.436,583.87,0,0,0.047390761,0.047390761,0.206577434,0.143865245,0.240630931
FUBON BANK (HONG KONG) LIMITED,"FUBON BANK BUILDING, 38 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100138,22.283263,114.156714,0,2023,0.001,129598400,140981616,114346416,125016000,1961,5147117,8922145,2610598,5511876,129598.4,140981.616,114346.416,125016,5147.117,8922.145,2610.598,5511.876,0.117686515,0.113246085,0.087834541,0.0933093,0.733425722,1.111346136,0.344468147
CA INDOSUEZ (SWITZERLAND) SA,"SUITE 2918, 29/F, TWO PACIFIC PLACE, 88 QUEENSWAY, HONG KONG.","4, QUAI G-N-RAL-GUISAN, 1204 GENEVA, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100303,22.2774092,114.164408,1,2022,8.84,"18,275","16,789","18,275","16,789",1975,351.9,380.6,291,299.8,161551,148414.76,161551,148414.76,3110.796,3364.504,2572.44,2650.232,0,0,-0.081313269,-0.081313269,0.081557261,0.03024055,0.326765189
J.P. MORGAN SECURITIES (ASIA PACIFIC) LIMITED,"18/F & 23-29/F, CHATER HOUSE, 8 CONNAUGHT ROAD CENTRAL, HONG KONG",,Restricted Licence Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=200033,22.282321,114.158688,0,2023,0.078091,2131047,2240025,695537,636309,1971,553325,530848,472833,435387,166415.5913,174925.7923,54315.17987,49690.00612,43209.70258,41454.45117,36924.0018,33999.80622,0.673617241,0.715936652,0.051138243,-0.085154348,-0.040621696,-0.07919498,0.18596879
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,"20/F-22/F, THREE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG.","100 QUEEN STREET, MELBOURNE, VICTORIA 3000, AUSTRALIA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100164,22.2847046,114.1574,0,2023,0.2,1085600,1106000,66.4,69.1,1835,7120,7193,21273,46560,217120,221200,13.28,13.82,1424,1438.6,4254.6,9312,0.999938836,0.999937523,0.018791452,0.040662651,0.010252809,1.188689889,1.781530418
BANK OF SINGAPORE LIMITED,"34/F & 35/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","63 CHULIA STREET, #10-00 OCBC CENTRE EAST, SINGAPORE (049514)",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100290,22.2849386,114.158046,0,2022,0.0078,"35,526,469","39,007,493","33,501,237","37,036,409",1966,"966,870","939,526","590,069","606,818",277106.4582,304258.4454,261309.6486,288883.9902,7541.586,7328.3028,4602.5382,4733.1804,0.057006285,0.050530907,0.097983957,0.105523626,-0.028280948,0.028384816,-0.117019329
"Coutts & Co AG, Hong Kong Branch",,,,,22.2831,114.15918,1,2017,10.04,38446,46915,36990,45394,2015,634,658,399,461,385997.84,471026.6,371379.6,455755.76,6365.36,6606.32,4005.96,4628.44,0.0378713,0.032420335,0.220282994,0.22719654,0.03785489,0.155388471,-0.161702128
BANK J. SAFRA SARASIN AG,"40/F, EDINBURGH TOWER, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, HONG KONG.","ELISABETHENSTRASSE 62, POSTFACH, CH-4002 BASEL, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100297,22.280775,114.157917,0,2023,8.8343459,45620.342,42487.705,39432.472,36730.471,1841,1441.497,1735.908,753.222,801.972,403025.8813,375351.0825,348360.0973,324489.6859,12734.68311,15335.61172,6654.223687,7084.89805,0.135638396,0.13550353,-0.068667547,-0.068522232,0.204239759,0.064721955,0.356922742
"YUANTA COMMERCIAL BANK CO., LTD","ROOM 2508, 25/F, TOWER 1, ADMIRALTY CENTRE, NO. 18 HARCOURT ROAD, HONG KONG","1F-10F, NO. 66 & 1F, 2F, 2F-1, 7F, 9F, NO. 68, SEC. 1, DUNHUA SOUTH ROAD, TAIPEI CITY 105, TAIWAN",Licensed Bank,,22.2795856,114.165151,0,2023,0.24,1728469.063,1847328.894,1616589.106,1720509.564,1992,20750.473,23654.941,12093.01,16366.553,414832.5751,443358.9346,387981.3854,412922.2954,4980.11352,5677.18584,2902.3224,3927.97272,0.064727775,0.068650109,0.068765958,0.06428378,0.139971171,0.35338952,-0.158138129
CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED,"28/F, CCB TOWER, NO. 3 CONNAUGHT ROAD CENTRAL, CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100015,22.2814979,114.161474,1,2021,0.001,474505438,497290217,397180873,417551135,1912,18517639,15258277,8228603,5415722,474505.438,497290.217,397180.873,417551.135,18517.639,15258.277,8228.603,5415.722,0.162958227,0.160347176,0.048017951,0.051287117,-0.176013908,-0.341841866,-0.043393861
DBS BANK (HONG KONG) LIMITED,"11TH FLOOR, THE CENTER, 99 QUEEN'S ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100034,22.2847401,114.154679,1,2024,1,475875,467621,432432,420893,1968,10763,10585,3881,4115,475875,467621,432432,420893,10763,10585,3881,4115,0.09129078,0.099927078,-0.017344891,-0.026683964,-0.01653814,0.060293739,-0.059866318
"YAMAGUCHI BANK, LTD. (THE)","ROOM 403, 4/F FAR EAST FINANCE CENTRE, 16 HARCOURT ROAD, CENTRAL, HONG KONG","2-36, 4-CHOME, TAKEZAKI-CHO, SHIMONOSEKI JAPAN.",Local Representative Office,,22.2800624,114.164022,0,2023,0.05,11993722,12182663,11312583,11546331,1878,18505,156292,148710,161795,599686.1,609133.15,565629.15,577316.55,925.25,7814.6,7435.5,8089.75,0.056791295,0.052232587,0.015753325,0.020662655,7.445933531,0.087990048,-0.957735878
BANK JULIUS BAER & CO. LTD.,"39/F, ONE INTERNATIONAL FINANCE CENTRE, 1 HARBOUR VIEW STREET, CENTRAL, HONG KONG.","BAHNHOFSTRASSE 36, CH-8010 ZURICH, SWITZERLAND.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100301,22.2850432,114.156919,0,2023,8.8343459,105643.7,"96,786.30",99354,"90,623.10",1890,3853.3,3239.6,2904.2,2786.1,933292.988,855043.6526,877727.6025,800595.8119,34041.38506,28619.74698,25656.70736,24613.37111,0.059536915,0.063678434,-0.083842198,-0.087876683,-0.159266084,-0.040665243,-0.522178906
SHINKIN CENTRAL BANK,"SUITE 4008, 40/F, CENTRAL PLAZA, 18 HARBOUR ROAD, WANCHAI, HONG KONG.","3-7, YAESU 1 CHOME, CHUO-KU, TOKYO 103-0028, JAPAN.",Local Representative Office,,22.2799097,114.173739,0,2022,7.8,394382,357586,379106,344849,1950,2053,1765,1693,1399,3076179.6,2789170.8,2957026.8,2689822.2,16013.4,13767,13205.4,10912.2,0.038734019,0.035619403,-0.093300404,-0.09036259,-0.140282513,-0.173656232,0.016666667
BANK OF CHINA (HONG KONG) LIMITED,"14TH FLOOR, BANK OF CHINA TOWER, NO.1 GARDEN ROAD, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100072,22.2795425,114.161493,0,2023,1,3666505,3868783,3340670,3545354,2001,54215,65498,96921,44647,3666505,3868783,3340670,3545354,54215,65498,96921,44647,0.088868009,0.083599675,0.05516916,0.061270344,0.208115835,-0.539346478,-1.488245211
"BANK OF BEIJING CO., LTD.","UNIT 5601, 56/F, THE CENTER, NO. 99 QUEEN'S ROAD CENTRAL, HONG KONG","GROUND FLOOR, JIA NO.17, FINANCIAL STREET, XICHENG DISTRICT, BEIJING, PRC.",Local Representative Office,,22.2845991,114.15474,0,2023,1.103509159,3387952,3748679,3077335,3420447,1996,66276,66711,39332,38599,3738636.062,4136701.611,3395867.358,3774494.592,73136.17302,73616.19951,43403.22224,42594.35003,0.091682822,0.087559378,0.106473469,0.111496473,0.006563462,-0.018636225,0.043349169
SHINHAN BANK,"UNIT 7703 ON LEVEL 77, INTERNATIONAL COMMERCE CENTRE, 1 AUSTIN ROAD WEST, KOWLOON.","120, 2GA, TAEPYUNG-RO, JUNG-GU, SEOUL 100-102, KOREA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100293,22.3048411,114.160362,0,2023,0.0056,"691,795,333","691,795,333","611,009,672","635,473,468",1982,"5,905,564","6,100,850","1,150,050","1,345,336",3874053.865,3874053.865,3421654.163,3558651.421,33071.1584,34164.76,6440.28,7533.8816,0.116776823,0.081414057,0,0.040038312,0.033068137,0.16980653,0
